,title_advert,location1,location2,property_type,property_size,bedrooms,bathrooms,cost,amenities,description,listed,completion,descriptions
0,['NO ADM FEE | 3 Yrs No Service Charge and more!'],"['Mamsha Al SaadiyatAbu Dhabi, Saadiyat Island, Saadiyat Cultural District']",,['Apartment'],"['1,829 sqft\n                      /            170 sqm']",['2'],['2'],"['2,928,000  AED']","[""Unfurnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nChildren's Pool\nConcierge\nCovered Parking\nLobby in Building\nNetworked\nSecurity\nShared Gym\nShared Pool\nShared Spa\nStudy\nView of Landmark""]",,[],['Off-plan'],"[""DescriptionSPECIAL AND LIMITED OFFER!\n- 2% ADM Fee Waiver\n- 3 Years NO Service Charge\n- 3 Years FREE Property Management\n- 3 Years FREE Maintenance\n- ZERO Commission\n- 5% Down Payment\nA community that has a world-class apartment, amenities, and facilities!\nAmazing views, amazing community, top of the line amenities and facilities at a very affordable price.\nProperty Details:\n- 2 Level Apartment\n- Partial Sea View\n- 1 Master Bedroom with a huge bathroom and built-in close\n- 1 Cozy bedroom\n- Open Kitchen\n- A spacious living area adjacent to the dining area\n- Bathroom\n- Big Balcony\n- Dedicated Parking\n- Glass Walls\nFacilities and Amenities:\nLuxurious lobby\nSecurity-controlled Gated community\nChildren's pool\nPlayground\nLandscaped grounds\nA BBQ area with kitchenette\nMulti-purpose court\nMale and female prayer rooms\nMale and female community changing rooms and shower areas\nState-of-the-art gym\nParking for residents and guests\nInvest in the most exclusive beachfront development, steps away from Louvre Abu Dhabi, Guggenheim Abu Dhabi, and Zayed National Museum.\nMamsha Al Saadiyat offers exclusive homes in an unparalleled location, you can be hitting the health club, splashing around the pool or strolling through the park.\nCall Al Zaeem Commercial Brokers today:   +971509915454 | +97124433432\nVisit our website: www.azcb.co\nPrimary email: info@azcb.co\nOur team is experienced, motivated and work diligently to ensure your property needs are met.\nGet into Business with Al Zaeem Commercial Brokers, one of the best real estate agents in the UAE.""]"
1,['Stunning one Bedroom unit in Marina Quays'],"['Marina Quay West\n                              3.7\n/58 ReviewsDubai, Dubai Marina, Marina Quays']",,['Apartment'],['761 sqft\n                      /            71 sqm'],['1'],['1'],"['920,000  AED']",['Unfurnished\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nKitchen Appliances\nPets Allowed\nSecurity\nShared Gym\nShared Pool'],,['Listed:1 month ago'],['Ready'],"[""DescriptionThe price is negotiable.\nValoran Real Estate is pleased to present this incredible 1 bedroom apartment situated in Prime Location Dubai Marina. A 2-minute walk to JBR The Walk, coupled with living in one of Emaar's most Premium buildings.....whether you are purchasing for investment or a new home- you cannot go wrong here.\nThis apartment features the following benefits-\n- The unit is vacant and ready to move in.\n- Available for Sale Now.\n- 1 bedroom apartment.\n- 2 Bathroom.\n- 761.70 square foot\n- Marina Quays West\n- Emaar Development\n- 5 stars Duplex Gymnasium\n- Infinite swimming pool\n- BBQ area\n- Squash Court\n- Only AED 950,000 (the price is negotiable)\nLocated in Prime, Central Dubai Marina- having he beach lifestyle at your fingertips yet you are also in a high rise area, it is no wonder why Marina Quays is such a sought after area.\nFor more information please contact our Dubai Marina Sales Specialist on +971551019474. \nValoran Real Estate contact number is +97144576600""]"
2,['2Br+Study |Fountain & Burj View for sale'],"['The Residences 7\n                              4.3\n/56 ReviewsDubai, Downtown Dubai, The Residences']",,['Apartment'],"['1,650 sqft\n                      /            153 sqm']",['2 + Maid'],['3'],"['2,750,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nMaid Service\nMaids Room\nSecurity\nShared Gym\nShared Pool\nStudy'],,['Listed:2 months ago'],['Ready'],"['DescriptionDOWNTOWN DUBAI - THE RESIDENCES\nNo. of Beds: 2 Br + Study\nView: Burj khalifa and fountain view\nBUA: 1650 sq.ft\nPrice: AED 2,750,000/-\nStatus: Rented\nFeatures and Amenities:  \nswimming pool\nsquash courts\nbadminton court\nfitness centres\nmeeting room\nday care centre\nbusiness centre\nguest suites\nprovided lockers and storage space\nfour parking levels\nconcierge facility\n24-hour maintenance and security\nEXCEPTIONALLY DESIGNED, THE RESIDENCES HAVE BEEN HANDED OVER TO CUSTOMERS, AND ARE MUCH SOUGHT-AFTER FOR THEIR CENTRAL LOCATION\nThe Residences are built around the concept of tranquility and harmonious living. Centrally located in Downtown Dubai, The Residences offer a soothing ambiance with spectacular views of Burj Khalifa and The Dubai Fountain One of the first residential communities in Downtown Dubai.\nCall Vishal Parikh 27751 on +971555541578 for details\nCompany name: Indus Real Estate LLC\nRERA ORN: 123\nAddress: 203 Al Sharafi Bldg Khalid Bin Al Waleed Road Bur Dubai']"
3,['Corner Plot | Brand New | 4D3 |On Pool/Park'],"['Villa Lantana 1Dubai, Al Barsha, Villa Lantana']",,['Villa'],"['3,875 sqft\n                      /            360 sqm']",['4 + Maid'],['5'],"['3,600,000  AED']","[""Unfurnished\nBalcony\nBarbecue Area\nCentral A/C\nChildren's Play Area\nConcierge\nCovered Parking\nMaids Room\nPets Allowed\nPrivate Garden\nShared Gym\nShared Pool\nStudy\nView of Water""]",,['Listed:2 months ago'],['Ready'],"[""DescriptionThis 4D3 in Villa Lantana 1 is 1 out of 9 of Corner 4D3 in the entire development. The villa directly faces The Club house with swimming pool, gym Tennis Court ,Sauna, Basketball\xa0and Football Court and right\xa0behind the Villa is a huge park .Its a brand new villa and has never been used. It has been kept in a very good conditionDetails: Type 4D3 is a four bedroom detached, independent villa. It comprises of a built up area of 3,875 sq ft and sits on a plot of 5,500 Square feetLiving space: 3,875 sq.ftPlot: 5,500 sqft4 bedrooms + maid's room2 car garage spacesBrand NewSingle rowGated communityFreehold projectVilla Lantana 1Villa Lantana is a gated community of 440 detached and semi-attached villas located in Al Barsha South close to Dubai's main business districts and local amenities. The villas are contemporary in design and practically planned for modern families to enjoy a happy and hassle-free life.Company name: One Broker GroupRERA ORN: 17196 Website: www.obg.ae""]"
4,['Studio For Sale At Affordable Price'],"['Wavez ResidenceDubai, Dubai Land, Liwan']",,['Apartment'],['405 sqft\n                      /            38 sqm'],['studio'],['1'],"['355,000  AED']","[""Partly furnished\nChildren's Play Area\nCovered Parking\nShared Gym\nShared Pool""]",,['Listed:2 months ago'],['Off-plan'],"['DescriptionWavez Residence by Danube Properties is located in Liwan, the impressive township in Dubai that offers extraordinary living amenities at unrivalled prices.There are a total of 414 apartments which includes 338 studios and 76 one-bedroom units. Redefining premium living, these homes are available at never-seen-before affordable prices.Easily accessed from both Sheikh Mohammed Bin Zayed Road and Al Ain Road, this 8,573-square-metre development consists of two tenstorey buildings offering amenities that will be a first for any residential property in Liwan. These include a swimming pool, Jacuzzi, jogging track, kids play area and a health club too.Importantly, this is also the first project in the entire township that will have a full-fledged integrated retail offering on the premises itself, called Wavez AvenueCall Michael\xa0 on +971565449199 / +97143996881 or visit www.floraproperties.com for further detailsCompany name: Flora Bright PropertiesRERA ORN: 44424 Address: #505, Al Zarouni Business Center, 891 Sheikh Zayed Road, Dubai, UAE Office phone no: +97143996881Office fax no: Primary email: michael@floraproperties.com']"
5,['Upgraded 3 Bedroom Villa with Park Views'],"['District 16Dubai, Jumeirah Village Circle']",,['Villa'],"['3,500 sqft\n                      /            325 sqm']",['3'],['5'],"['2,450,000  AED']",[],,['Listed:2 months ago'],['Ready'],"['DescriptionStand Alone 3 Bedroom Villa with Park View | Peaceful Environment\nBrought to you by Driven Properties, this amazing 3 bedroom Villa is located in District 16, Jumeirah Village Circle\nUnit Details:\n● Vacant\n● Standalone Villa\n● View: Park\n● Kitchen: Closed & Fully Fitted\n● Bathrooms: 4.5\n● Maids Room\n● Private Garage\n● Built-Up Area: 3,500 square feet\n● Plot Area: 8,400 square feet\n● Furnished: No\nBuilding Amenities:\n● Beautiful Landscaped Gardens\n● Community Centre within 0.5 km\n● Easy access to Sheikh Zayed Road\nComplimentary mortgage advisory through Driven Properties via partnerships with over 15 UAE banks\nCall our Jumeirah Village Circle expert for more information or viewing on +97144297040 for out of office hours or weekends call +971553658402\nSince 2012, Driven Properties has grown to be one of the largest real estate platforms in the region. Through multiple branches in Dubai, Ajman, China, and Saudi Arabia, Driven Properties manages a portfolio of over 10,000 units.']"
6,['Independent 5Beds Villa with private elevator/pool'],"['Decora VillasDubai, Al Sufouh, Acacia Avenues']",,['Villa'],"['7,000 sqft\n                      /            650 sqm']",['5 + Maid'],['6'],"['8,000,000  AED']",['Unfurnished\nBuilt in Wardrobes\nCentral A/C\nMaids Room\nPrivate Garden\nPrivate Pool'],,['Listed:2 months ago'],['Ready'],"['DescriptionThank You for Choosing RNR International Real Estate.Area Specialist\xa0Name: Rakesh MirchandaniMobile No: +971553308557RNR International\xa0is proud to show you this five bedrooms plus maids room independent villa located in a nice area in Al Sufouh. Acacia Avenues is a gated and freehold community and close to the beaches of Jumeirah.Property Features:- Independent villa,- Decora style,- 5 Bedrooms + maids room villa,- With a private elevator/pool,- Selling Price : AED 8,000,000FACILITIES and AMENITIES:- Club House- Swimming Pool- Jacuzzi- Fitness CenterWithin the Acacia Avenues community itself it is planned for residents to have access to a number of premium lifestyle amenities etc. It is a commitment to quality as yet unseen in Dubai as well as with outstanding access to the media business parks.RNR International Real EstateRERA ORN: 16084Address: Office 1014 Onyx Tower 2, The GreensPhone No: +971553308557Fax No: +97143308773Primary Email: rakesh@rnr-realestate.comWebsite:\xa0www.rnr-realestate.com']"
7,['Great price 4 bed plus maid | Ready end of 2019'],"['Reem CommunityDubai, Arabian Ranches 2']",,['Villa'],"['2,650 sqft\n                      /            246 sqm']",['4 + Maid'],['3'],"['2,550,000  AED']",['Unfurnished\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nMaids Room\nPrivate Garden\nSecurity\nWalk-in Closet'],,['Listed:4 months ago'],['Off-plan'],"['Description- Off plan property\n- Ready end of 2019\n- 4 bedrooms\n- Maids room\n- Open plan modern living\n- Corner plot\n- Motivated seller\n- Call Keith on +971552215692 for more details\nhaus & haus is pleased to introduce to the market this modern 4 bed plus maid’s room villa.\nThis stunning modern home comes with an open plan living/dining room with kitchen leading off. Patio doors open out from the living room onto your private garden.\nUpstairs, are the 3 double bedrooms, the master coming with en-suite, walk-in dressing room & private balcony.\nAdditional two double bedrooms share the family bathroom.\nCall Keith (BRN: 42350) on +971552215692 for more information.\nFinance is available up to 50% on this property through haus & haus partners.\nFor further details or to arrange viewings, please contact our Head Office on +97143025800, alternatively visit our website www.hausandhaus.com where you will find our full selection of properties available both for sale and rent.']"
8,['Motivated | 3 Bed Plus Maids | Vacant Feb'],"['West ClusterDubai, Jumeirah Heights, Loft Cluster']",,['Duplex'],"['2,370 sqft\n                      /            220 sqm']",['3'],['4'],"['1,700,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nConcierge\nCovered Parking\nSecurity\nShared Gym\nShared Pool'],,['Listed:1 month ago'],['Ready'],"['Description- Vacant Feb 2020\n- 3 bed with En-Suite\n- Maids\n- 2,370 sq.ft\n- 2 x Parking Spaces\n- Community Pool\n- Corner Apartment\n- Call Samuel on +971569599538\nhaus & haus is pleased to offer the well located 3 bedroom plus maids, duplex apartment in Jumeirah Heights.\nThe ground floor unit benefits from 3 x en-suite bedrooms and an open plan living area. The apartment is currently tenanted however will be vacant in February 2020.\nCall Samuel (BRN: 30648) on +971569599538 for more information, to arrange a viewing or to make an offer.\nFinance is available on this property through haus & haus partners. Please speak to us for more information.\nFor further details or to arrange viewings, please contact our Head Office on +97143025800, alternatively visit our website www.hausandhaus.com where you will find our full selection of properties available both for sale and rent.']"
9,['Fully Upgraded Mazaya A2 | Great Landscaping'],"['The CentroDubai, The Villa']",,['Villa'],"['4,900 sqft\n                      /            455 sqm']",['5 + Maid'],['4'],"['3,500,000  AED']",['Partly furnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nKitchen Appliances\nMaids Room\nPets Allowed\nPrivate Garden\nPrivate Pool\nWalk-in Closet'],,['Listed:3 months ago'],[],"[""DescriptionDescription below\n• Extended living room, kitchen.\n• All windows in the living room converted to french doors\n• Tempered glass outdoor.\n• fully landscaped garden with trees.\n• pool extended and upgraded.\n• Additional living room.\n• Outdoor kitchen.\n• Built-in Barbecue pit and huge seating area,\n• Close to school and community center\n• Customized interiors, elegant finishing, \n* ceramic tiling, marble stairs, high ceilings, fitted kitchen, and designer cabinets.\n• Fully developed courtyard + park view.\n• Selling Price- AED 3,500,000.\n* Please call  +971582590808 for viewing.\nThe Villa Project is a community that is well equipped with its 2 mosques, nursery, 2 community centers, 2 large Spinneys, dry cleaners, melodic center, Gents and ladies salons, hospital, photo studio, children's play area, restaurants and coffee shops, and communal gardens. It also has a tennis court. Close to IMG park and Novo cinemas, New Cityland Mall. Well connected to Academic City and Silicon Oasis by the new D54  and also within minutes to the 311 and 611 highways.""]"
