,title_advert,location1,location2,property_type,property_size,bedrooms,bathrooms,cost,amenities,description,listed,completion,descriptions
0,['2 Years Post Payment Plan |No Agency Fees |Ready To Move In'],"['The Residences JLTDubai, Jumeirah Lake Towers']",,['Apartment'],"['1,547 sqft\n                      /            144 sqm']",['2'],['3'],"['2,100,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nConcierge\nShared Gym\nShared Pool\nView of Water'],,['Listed:2 months ago'],['Ready'],"['DescriptionBH is proud to launch The Residences at JLT, a fascinating superstructure located on the upper floors of the TAJ Hotel. The project features a collection of opulent apartments boasting marvelous views of Burj Al Arab, The Emirates Golf Club and Dubai skyline.\xa0Residents are privileged with state-of-the art amenities such as swimming pool and health club (including personal trainers), spa, treatments and beauty salon rooms, yoga studio and a multi-purpose function hall connected to the pool deck that is exclusive for owners to host elegant parties or meetings.Customized services for the residents include 24hr concierge and valet parking.The Monogram Residences2 and 3-bedroom apartments located between the 20th to 30th floor, ranging from 1500 to 3200 sq ft. All units benefit from\xa0Home automation system by Le Grand, Floor-to-ceiling windows,\xa0Unique three-sided open terraces,\xa0Siemens kitchen fittings, Quartz stone countertops,Bathrooms Kohler fittings,Italian marble floors.Call now BH\xa0to take part in this luxurious experience offered by The Residences at the TAJ']"
1,['Townhouse 25% down of original price | best layout and view'],"['Mira Oasis 2Dubai, Reem, Mira Oasis']",,['Townhouse'],"['2,723 sqft\n                      /            253 sqm']",['3'],['4'],"['1,730,000  AED']","[""Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nShared Pool""]",,['Listed:2 months ago'],['Ready'],"[""DescriptionColdwell Banker is proud to present you a townhouse in Mira Oasis II100% Completion - handover is currently ongoing25%\xa0down of original priceProperty features:facing communitybest layoutbest viewssun porch3 bedrooms4 bathroomsAmenities set within the neighborhood:3 and 4-bedroom optionsResidents' Clubs featuring a pool, spa and fitness centerSecure gated communitySupermarketsNurseries and primary schools for childrenParkChildren's playing areasCommon areas with fountainsRestaurants and cafesDedicated jogging and bicycle pathsCricket pitch and a miniature golf courseSeveral football fieldsAmphitheater outdoor cinema\nIt is the perfect haven of peace and entertainment for all residents.Call Hanlu Yang on\xa0+971524617718 or\xa0+971529073572Coldwell BankerRERA ORN: 1201Address: Office 1211, Onyx Tower 1, Greens, DubaiOffice phone: +97143825000Email: info@coldwellbanker.aeWebsite: www.coldwellbanker.aeCompany known for its professionalism and knowledge of the markets, Coldwell Banker secures its title of being one of the largest real estate franchises.""]"
2,['Rented|4BR+Maid|Samara AR 2'],"['SamaraDubai, Arabian Ranches 2']",,['Villa'],"['3,225 sqft\n                      /            300 sqm']",['4 + Maid'],['3'],"['2,997,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nMaids Room\nPrivate Garden'],,['Listed:2 months ago'],['Ready'],"[""DescriptionPictures are for illustration purposes only.Keller William Real Estate LLC is delighted to present Spanish Coastal influenced Villa in Samara Community, Arabian Ranches II.Type 24Bedroom+MaidBUA 3,225 sqftPlot 4,200 sqft2 Cars Garage Parking\xa0Villa Rented and is good for investment purpose4 Years Service Charges Waived Off (Till Dec 2023)\xa0* Gated Community* Semi Detached Villa* Schools in the neighborhood * Jogging/Bicycling tracks * Swimming Pool * Tennis Court * Children's Playroom / Play area * Community Retail Centers The ground floor offers a closed kitchen with breakfast serving bar leading onto a spacious dining room and ultra-sizable living room. Both rooms extending out onto the garden with covered loggia. A secluded maids room summarizes the ground floor, moreover, a guest room with a bath inside the room is on the ground floor. The first-floor features two spacious bedrooms sharing a bathroom, both offering ample built-in cupboards. Finally, a sizable master bedroom with walk-in closet, lovely bathroom with his/hers sink, bath, and shower, a lovely balcony overlooking landscaped gardens and the Arabian sunsets.Pictures are only for illustration purposes.Visit http://www.kwdubai.ae for further detailsCompany name: Keller Williams Real Estate L.L.C.RERA ORN: 15607 Office phone no: +97145579955Website: http://www.kwdubai.ae""]"
3,['Rented|5BR+Maid|Samara AR 2'],"['SamaraDubai, Arabian Ranches 2']",,['Villa'],"['3,970 sqft\n                      /            369 sqm']",['5 + Maid'],['6'],"['3,734,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nMaids Room\nPrivate Garden'],,['Listed:2 months ago'],['Ready'],"[""DescriptionPictures are for illustration purposes only.Keller William Real Estate LLC is delighted to present Spanish Coastal influenced Villa in Samara Community, Arabian Ranches II.Type 35Bedroom+MaidBUA 3,970 sqftPlot 5,597 sqft2 Cars Garage Parking\xa0Villa Rented and is good for investment purpose4 Years Service Charges Waived Off (Till Dec 2023)\xa0* Gated Community* Near to Swimming Pool & Park* Schools in the neighborhood * Jogging/Bicycling tracks * Swimming Pool * Tennis Court * Children's Playroom / Play area * Community Retail Centers The ground floor offers a closed kitchen with breakfast serving bar leading onto a spacious dining room and ultra-sizable living room. Both rooms extending out onto the garden with covered loggia. A secluded maids room summarizes the ground floor, moreover, a guest room with a bath inside the room is on the ground floor. The first-floor features two spacious bedrooms sharing a bathroom, both offering ample built-in cupboards. 3rd bedroom with a barh inside. Finally, a sizable master bedroom with walk-in closet, lovely bathroom with his/hers sink, bath, and shower, a lovely balcony overlooking landscaped gardens and the Arabian sunsets.Pictures are only for illustration purposes.Visit http://www.kwdubai.ae for further detailsCompany name: Keller Williams Real Estate L.L.C.RERA ORN: 15607 Office phone no: +97145579955Website: http://www.kwdubai.ae""]"
4,['One Bed Duplex | Modern Finish | Balcony'],"['Shamal ResidencesDubai, Jumeirah Village Circle']",,['Apartment'],['770 sqft\n                      /            72 sqm'],['1'],['1'],"['750,000  AED']",[],,['Listed:1 month ago'],['Ready'],"['DescriptionOne Bed Duplex | Modern Finish | Balcony\n- One Bedroom\n- Two Floors\n- Fully Fitted Kitchen\n- Gymnasium\n- Swimming Pool Access\n- Large Balcony\n- Modern Finish\n- Floor To Ceiling Windows\n- Covered Parking\n- Property Reference Number: DUB199664\n- RERA Permit Number: 2005050367\n- Agent: Craig Andrews +971556284413, RERA BRN No.: 45054\nThis modern duplex apartment in Shamal Residence is located in District 14, the apartment has excellent transport links with Al Khail Road and Hessa Street.\nThe two story apartment boasts a modern finish with floor to ceiling windows. Downstairs there is the living area, bathroom and kitchen, with an ensuite bedroom upstairs. There is also a well sized balcony.\nProperty Reference Number: DUB199664\nFor further details or to arrange a viewing appointment please contact our Head Office on +9714294444, alternatively visit our website www.allsoppandallsopp.com.\nPlease call Craig Andrews +971556284413 for more information or to arrange a viewing.']"
5,['Best Price|7% ROI For 3 Yrs|Free 2 Yrs Serv Charge'],"['AZIZI RivieraDubai, Meydan, Meydan One']",,['Apartment'],['403 sqft\n                      /            37 sqm'],['studio'],['1'],"['480,000  AED']","[""Partly furnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nConcierge\nCovered Parking\nKitchen Appliances\nPets Allowed\nPrivate Jacuzzi\nShared Gym\nShared Pool\nView of Water""]",,['Listed:4 months ago'],['Off-plan'],"['DescriptionBook Now with only 3% and 27% during construction1-\xa0 Free two year service charge\xa02- No Commission\xa03- Attractive Payment Plan4- 7%\xa0Guaranteed Returns on Investment till 3 Years\xa0Azizi Riviera is a waterfront community located in Meydan one in Mohammad bin rashid city right next to the Biggest upcoming Mall, Meydan One Mall with longest indoor ski slope, tallest residential tower, Dubai one tower, Water Canal, Highest Fountain and new metro linePlease Note units are subject to availability on first come first serve basis\xa0Call Ali Asif 35717 on +971547471847 / +97143695091 or visit www.penthouseproperties.ae for further details']"
6,['فيلا طراز عربى تصميم مميز بافضل الخامات العصريه'],"['Al Rawda 3Ajman, Al Rawda']",,['Villa'],"['5,000 sqft\n                      /            465 sqm']",['5 + Maid'],['6'],"['1,650,000  AED']",['Unfurnished\nBalcony\nCovered Parking\nMaids Room'],,[],['Ready'],"[""DescriptionNow… it's a Big Chance and Surprise … only for you \nYou can get freehold villas at Ajman in good location with high quality divided to five bedroom (master), hall ,guest room ,servant room  kitchen , Courtyard ,car parking \nThere are a lot of things to consider when purchasing a new home, and sometimes, these steps may seem daunting. But when it comes to designing the place you'll stay for years to come, we believe in keeping the process stress-free and full by fun to you and family .\nWe commitment to building and sell perfect quality homes, with our customization of villas can choose from our Gallery, ensures you get the home of your dreams at a great value for you and your family.\nOne of the main reasons to buy a new construction home  you will have more input in the final product. Once find your favourite community from the best right floor plan that suits your lifestyle, you'll work with our team of experts to choose the finishing touches that turn a great house into the perfect home. And when you buy with us, you're guaranteed to move into the home of your dreams. Because our craftsmanship and the quality of our homes shine through in each new construction, so you know you're buying from a builder you can trust. Nothing beats the peace of mind you get from moving into a brand new home of superior quality - especially when it's located in a beautifully designed neighbourhood with the amenities you love.""]"
7,['Last 3BR Corner Unit In Ph 1 Blvd bldg 20/80 Plan'],"['AZIZI RivieraDubai, Meydan, Meydan One']",,['Apartment'],"['1,100 sqft\n                      /            102 sqm']",['3'],['3'],"['1,242,920  AED']","[""Partly furnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nConcierge\nKitchen Appliances\nPets Allowed\nPrivate Jacuzzi\nShared Gym\nShared Pool\nView of Water""]",,['Listed:4 months ago'],['Off-plan'],"['Description-\xa0Investors visa- Special Discounts\xa0- No Commission\xa0- Attractive Payment Plan Azizi Riviera is a waterfront community located in Meydan one in Mohammad bin rashid city right next to the Biggest upcoming Mall, Meydan One Mall with longest indoor ski slope, tallest residential tower, Dubai one tower, Water Canal, Highest Fountain and new metro lineHandover in Q1 2020 for phase one and phase two in Q2 2020\xa0\xa0Please Note units are subject to availability on first come first serve basis\xa0Call Ali Asif 35717 on +971547471847 / +97143695091 or visit www.penthouseproperties.ae for further details']"
8,['2 Years Post Payment Plan | No Agency Fees |Ready To Move In'],"['The Residences JLTDubai, Jumeirah Lake Towers']",,['Apartment'],"['1,547 sqft\n                      /            144 sqm']",['2'],['3'],"['2,250,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nConcierge\nShared Gym\nShared Pool\nView of Water'],,['Listed:2 months ago'],['Ready'],"['DescriptionBH is proud to launch The Residences at JLT, a fascinating superstructure located on the upper floors of the TAJ Hotel. The project features a collection of opulent apartments boasting marvelous views of Burj Al Arab, The Emirates Golf Club and Dubai skyline.\xa0Residents are privileged with state-of-the art amenities such as swimming pool and health club (including personal trainers), spa, treatments and beauty salon rooms, yoga studio and a multi-purpose function hall connected to the pool deck that is exclusive for owners to host elegant parties or meetings.Customized services for the residents include 24hr concierge and valet parking.The Monogram Residences2 and 3-bedroom apartments located between the 20th to 30th floor, ranging from 1500 to 3200 sq ft. All units benefit from\xa0Home automation system by Le Grand, Floor-to-ceiling windows,\xa0Unique three-sided open terraces,\xa0Siemens kitchen fittings, Quartz stone countertops,Bathrooms Kohler fittings,Italian marble floors.Call now BH\xa0to take part in this luxurious experience offered by The Residences at the TAJ']"
9,['Central Location | Best Priced 2BR Apartment'],"['Burj RoyaleDubai, Downtown Dubai']",,['Apartment'],"['1,058 sqft\n                      /            98 sqm']",['2'],['3'],"['1,900,000  AED']","[""Unfurnished\nBalcony\nCentral A/C\nChildren's Play Area\nShared Pool""]",,['Listed:28 days ago'],['Off-plan'],"['DescriptionWith it\x92s rooftop observation deck, close proximity to the Dubai mall, dusk till dawn lighting and views of the Burj Khalifa and dancing fountains; you can see why this popular development by Emaar was a huge success at launch. Downtown address\x92 in Dubai are solid long-term investments and with the price per sq ft at it\x92s lowest in 7 years; Burj Royale is no different. * Selling Price: AED 1,900,000 * BUA : 1,058 Square Feet * High class Gymnasium * State of the Art Finishing * 2 bedroom w/ en-suites bathrooms * UAE residency upon property handover * Accessible\xa0to The Dubai Mall\xa0and Burj Khalifa *\xa0Stunning views of The Dubai Fountain * Swimming Pool, Party Hall &\xa0Restaurants * 50% mortgage for non-residence Payment Plan: * 80/20 2 Years Post handover Payment Plan * 10% Down Payment Call San our Downtown Expert for\xa0full project tour or more info at\xa0+971562466806 | 800-DANDB | www.dandbdubai.com D & B Properties is a leading real estate company in the International Off-Plan market.\xa0We assist in every aspect of searching and securing residential off-plan property']"
