,title_advert,location1,location2,property_type,property_size,bedrooms,bathrooms,cost,amenities,description,listed,completion,descriptions
0,['Type 8 | Fully Upgraded | Good Location'],"['Saheel 1Dubai, Arabian Ranches, Saheel']",,['Villa'],"['3,166 sqft\n                      /            294 sqm']",['4 + Maid'],['5'],"['3,195,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nMaids Room\nPrivate Garden\nPrivate Pool\nSecurity\nStudy\nWalk-in Closet'],,['Listed:5 months ago'],['Ready'],"['Description- Saheel 1\n- Fully upgraded\n- Highest standard of finishing\n- 4 bedrooms plus study\n- New kitchen\n- Private pool\n- Call Rachel on +971507192064\nA rare chance to purchase a beautifully presented Type 8 in Saheel. This villa has been fully upgraded and extended upstairs providing an additional study area.\nSet in a secluded location and on a 6,237 sq.ft plot. The property benefits from a well landscaped garden with a private swimming pool which is perfect for entertaining guests.\nCall Rachel (BRN: 36020) on +971507192064 for more information, to arrange a viewing or to make an offer.\nFinance is available on this property through haus & haus partners. Please speak to us for more information.\nFor further details or to arrange viewings, please contact our Head Office on +97143025800, alternatively visit our website www.hausandhaus.com where you will find our full selection of properties available both for sale and rent.']"
1,['High Floor 2 Beds w/ full sea view fully furnished'],"['Damac Heights\n                              3.5\n/55 ReviewsDubai, Dubai Marina']",,['Apartment'],"['1,396 sqft\n                      /            130 sqm']",['2'],['3'],"['2,500,000  AED']",['Furnished\nBuilt in Wardrobes\nCentral A/C\nShared Gym\nShared Pool'],,['Listed:2 months ago'],['Ready'],"['DescriptionMetropolitan Premium Properties proudly brings to the market this exquisite and captivating fully furnished 2 bedrooms in Damac Heights\xa0\xa0DAMAC Heights presents unimpeded views of the Arabian Gulf and Palm Jumeirah, along with the surrounding neighborhood. Homes are beautifully designed and very spacious. Glass balconies allow light to flood in through huge picture windows and a light neutral palette, with contrasting dark marble, is used for key surfaces in the kitchen and luxurious bathrooms. Built-in wardrobes, a fitted kitchen and premium finishing, along with a range of quality amenities in the building all combine to make for a wonderful waterfront lifestyle at this incredible marina address.Call Alina Adamco\xa0+971554546322 / +97143605561 or visit www.mpd.ae for further detailsMETROPOLITAN PREMIUM PROPERTIES company is one of the most successful real estate agencies in Dubai. For more than 8 years, we have been helping our clients to sell, buy, rent or lease residential and commercial properties.']"
2,['OPEN TO OFFERS | HUGE PLOT| GOLF COURSE VIEW|VASTU'],"['Sector LDubai, Emirates Hills']",,['Villa'],"['39,366 sqft\n                      /            3,657 sqm']",['7 + Maid'],['7+'],"['43,500,000  AED']","[""Unfurnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nCovered Parking\nKitchen Appliances\nMaids Room\nPets Allowed\nPrivate Garden\nPrivate Gym\nPrivate Jacuzzi\nPrivate Pool\nSecurity\nStudy\nVastu-compliant\nView of Landmark""]",,['Listed:6 months ago'],['Ready'],"['DescriptionLUXURY MANSION  is proud to present This immaculate and spacious 7 Bedrooms villa located in Emirates Hills. This extremely roomy villa has a built-up area of 26,000 sq ft  and Plot of  39,367 SFT and is just right for a family, Consisting of 6 bedrooms and 1 master bedroom, this stunning space also features a large living area and a dining space where you can entertain your close family and friends. This entire living space is complemented by an abundance of natural light. This is a highly sought-after luxury property in a fantastic location.\nFeatures:- 7 Bedrooms- L sector, located on the lake Huge Plot Facing Gold Course view-  Spacious Entrance  with Fountain Feature and Covered parking -  Swimming Pool / Gym / Study / beautifully landscaped garden and  Beautiful Water Features in the Garden / Vastu Complaint \nDubai is home to many luxury property developments such as Palm Jumeirah, Jumeirah Islands and many others, but Emirates Hills is unquestionably the most exclusive.\nA truly world-class development overlooking the green fairways of The Montgomerie Dubai, an 18-hole championship golf course, Emirates Hills features a harmonious balance of well-appointed villas. Emirates Hills villas are set in elegant private neighborhoodsPR highlighted by lush green landscaping, making it one of the most desirable residential communities in an inimitable setting.\nFor More Info Please Contact: +971557283956']"
3,['Start Living w/ your dream home in C2 Marina Bay'],"['C2 TowerAbu Dhabi, Al Reem Island, City Of Lights']",,['Apartment'],['838 sqft\n                      /            78 sqm'],['1'],['2'],"['670,000  AED']","[""Unfurnished\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nChildren's Pool\nConcierge\nCovered Parking\nNetworked\nSecurity\nShared Gym""]",,[],[],"['DescriptionAbout the Property:\nTranquil Finishes I Modern Home Technology I Stylish Ceramic Tiles I High-Speed Broadband Connectivity I Classy Open Kitchen with Dark Brown Cabinets I Bathroom I Built-in Wardrobes I Central Gas I Impressive Water View I Car Parking I 24hrs Security and Maintenance I Access to facilities and Amenities\nThe Island is connected to downtown Abu Dhabi by two modern bridges with a third bridge ultimately connecting directly to the main Dubai highway. Abu Dhabi International Airport is approximately 20 minutes away by road. \nA residential tower facing the Arabian Gulf with unblocked views of the azure marina from each unit. Marina Bay nestled in the vibrant community of City of Lights, a prime commercial and residential area that offers tranquil living with a non-congested pedestrian surrounded by nearby necessities from schools, malls, and boutiques.\nLocation:\n- City Of Lights Area, Al Reem Island \n- Less than 5 minutes to Highway Going to Dubai\n- 10 minutes to Abu Dhabi Downtown\n-  20 minutes from the Abu Dhabi International Airport \nFor viewing and more information call:+971502121141 - +97126719404\nFor more properties browse to: www.gravity-re.com']"
4,['Lowest Price For 3 Bed | Ready Villa | DH'],"['Sidra Villas IDubai, Dubai Hills Estate, Sidra Villas']",,['Villa'],"['3,102 sqft\n                      /            288 sqm']",['3 + Maid'],['4'],"['2,799,000  AED']","[""Unfurnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nCovered Parking\nMaids Room\nPets Allowed\nPrivate Garden\nShared Pool\nStudy""]",,['Listed:more than 6 months ago'],['Ready'],"['DescriptionE &T Real Estate\xa0are pleased to present High Quality, Bright & Spacious 3 Bedroom Plus Maid Villa in a Brand New Development SIDRA 1.\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 ***Multiple Options\xa0Available***-\xa0Brand new property.- Type E1- Front, Side and Rear Garden- 40%Post-handover payment for 2 years\xa0- Additional discount available on handover.- Large plot size- Bank finance available- Currently 50% paid- BUA: 3,102- TBC finishing option- Ready to move in- And Much More.....It\x92s a popular E1 property which enjoys a huge open plan living/dining area with spectacular floor to ceiling windows providing amazing light throughout. The maids room is on the ground floor with 3 bedrooms on the first floor.Call Mohamad Fakhr El Dine 38067 on +971557372200 or visit www.edwardsandtowers.com for further details']"
5,['Exclusive | Full Golf Course View| Modern Villa'],"['Fairway VistasDubai, Dubai Hills Estate, Dubai Hills']",,['Villa'],"['8,286 sqft\n                      /            770 sqm']",['6 + Maid'],['7'],"['12,000,000  AED']","[""Unfurnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nCovered Parking\nMaids Room\nPrivate Garden\nPrivate Pool\nShared Pool""]",,['Listed:1 month ago'],['Ready'],"['DescriptionEngel & Voelkers is pleased to offer you this six-bedroom villa in the Fairways Vistas, Dubai Hills Estate. It offers a built-up area of 8,286 Sq. Ft., and a plot area of 13,273 Sq. Ft. with an amazing view of the Golf Course.Property Details:- 6 Bedroom Villa- Modern Style- B2 Type- BUA: 8,286 Sq. Ft.- Plot: 13,273 Sq. Ft.Facilities:- BBQ Area- Cafe- Golf- Gym- Kids Pool- Park- Restaurants- Retail Centre- Swimming PoolEnvisaged as a premium lifestyle community, Dubai Hills Estate is a rejuvenating getaway in the heart of the city. It has elegantly designed neighborhoods set around an 18-hole championship golf course. This stylish gated villa community offers customers the opportunity to design their own luxurious homes. It features an iconic commercial centres, high-end retail centres, hotels and many more.Engel & Voelkers is one of the world\x92s leading service companies specializing in the brokerage of residential and commercial properties, yachts and aviation, with 800 offices in over 30 countries.']"
6,['Brand New 3 BR+M Villa by Akoya'],"['Aurum VillasDubai, Akoya, Claret']",,['Villa'],"['1,881 sqft\n                      /            175 sqm']",['3 + Maid'],['4'],"['950,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCovered Parking\nMaids Room\nPets Allowed\nSecurity\nShared Gym\nShared Pool\nView of Landmark'],,['Listed:2 months ago'],['Ready'],"[""DescriptionPermit# 0135212591\nDamac master planned Claret Cluster in Dubai’s most desired destination Akoya Oxygen which offers plots, luxury villas and townhouses in a tranquil peace of living amidst greenery and seclusion.\nProperty Details:\nLocation: Akoya Oxygen, Claret Cluster, Damac Hills,\n- 3 Bedroom Villa\n- BUA: 1570 net sq ft\n- Plot: 1881.55 net sq ft\n- 3.5 Bathrooms\n- Maid's room\n- Terrace\n- Near Golf area\n- Covered parking space\n- Vacant and ready for move in\n• Selling Price: AED 950,000/-\nClaret Cluster is just 25 minutes far from the centre of the city next to the Umm Suqeim Expressway, carefully designed master plan and road network system, with dedicated spaces for world-class amenities.\nFor more inquiries and viewing appointments, Don't hesitate to call us!\nAgent: Mr. Ahed +971586868577\nAlternative No.: +971557777203\nSeven Century Real Estate\ninfo@sevencentury.com | www.sevencentury.com\nViewing to the property is also available on weekend (Thursday, Friday and Saturday)""]"
7,['City View High Flr. 1BR Apt with Full Facilities'],"['The Gate Tower 1\n                              4.5\n/52 ReviewsAbu Dhabi, Al Reem Island, Shams Abu Dhabi']",,['Apartment'],['828 sqft\n                      /            77 sqm'],['1'],['2'],"['825,000  AED']","[""Unfurnished\nBarbecue Area\nBuilt in Wardrobes\nCentral A/C\nChildren's Play Area\nChildren's Pool\nConcierge\nCovered Parking\nLobby in Building\nNetworked\nPets Allowed\nSecurity\nShared Gym\nShared Pool\nShared Spa\nView of Landmark""]",,[],[],"['DescriptionLive a luxurious lifestyle in one of the prestigious towers of Al Reem Island! Now you can move to a High end 1 bedroom apartment with full facilities and Parking - Available now for Rent in The Gate Tower 1, Al Reem Island!\nAbout Community:\nAl Reem Island has quickly become one of Abu Dhabi’s foremost residential districts offering a perfect lifestyle destination.\nIt is braced by a world class community with leisure facilities along with high-end retail offerings.\nSuffused with natural daylight, the property creates warm spaces, while the rooms offer breathtaking views of the city’s ever-evolving cosmopolitan skyline. With lush waterfront and marina views, residents can start their day by stepping out into a view in which fantasy is realized and a vibrant lifestyle can be indulged.\nContact us on:\nUnited Gulf Properties is one of the leading real estate broker in the United Arab Emirates. For various properties offers and hottest deals/ properties, please call:\nFor Sale: +971502023120\nGeneral Inquiries:.\nPhone: +97126777377\nYou can also visit our website at www.ugp.ae| Facebook https://www.facebook.com/ugpae/ | on instagram: @ugpae | Google  | Twitter | Youtube |']"
8,['Full Marina View | 2BR | Affordable'],"['Marina Quay West\n                              3.7\n/58 ReviewsDubai, Dubai Marina, Marina Quays']",,['Apartment'],"['1,254 sqft\n                      /            117 sqm']",['2'],['3'],"['1,750,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nSecurity\nShared Gym\nShared Pool'],,['Listed:2 months ago'],[],"['DescriptionAl Hilal Homes presents this must-see well maintained and high-end, en suite 2 bedroom apartment at Marina Quays West, Dubai Marina.\n2 Bedrooms. \n3 Bathrooms\nFull Panoramic Marina View\n1 Parking\nMarina view\nUnfurnished\nSemi-Open Kitchen\nWide-open windows welcome moderate sunlight.\nVacant\nSale Price: 1,750,000 AED\nMarina Quays offers distinctive design, uncompromising quality, and an unrevealed location making for the ultimate home in Dubai Marina. Marina Quays is not just located on the water; it extends 20 meters over the water offering an unsurpassed waterfront experience, this Building is one of the most wanted towers in the Dubai Marina area. The towers boast of good amenities and direct access to the yacht bay.                               \nRera Permit No: 29120\nFor viewing Please call:\nDominic Apollo Ghaderi\nBRN 45230+971556237771\ndominic@alhilalhomes.com']"
9,['Part Golf View | Open to Offers | 2 Beds'],"['The Links East Tower\n                              4.6\n/58 ReviewsDubai, The Views, The Links']",,['Apartment'],"['1,336 sqft\n                      /            124 sqm']",['2'],['2'],"['1,479,000  AED']",[],,['Listed:2 months ago'],['Ready'],"['DescriptionTwo Bedroom with Golf Course & Canal View now available For Sale:\n- Large 2 Bedroom\n- Upgraded\n- 2 Bathrooms\n- Golf Course and Canal Views\n- 1332 Sq.Ft\n- Fully Fitted Kitchen\n- Fantastic Facilities\n- 1 Parking Space\n- Reference No.: SUP172817\n- Agent: Jason Farr on +971543642228, RERA BRN No. 42581\nA large 2 bed 2 bath apartment with partial Golf Course views on a high floor. Square living area leading to private balcony which has views of the Golf Course and Canal.\nThe apartment is slightly upgraded with a false ceiling which adds to this already fantastic apartment.\nA large fitted kitchen with open bar to the living/dining area opens the home up throughout. 2 double bedrooms both with built in storage and views of the Golf Course and Canal. Master bedroom has en-suite. The apartment also has separate Laundry room which can doubled as storage.\nProperty Reference No.: SUP172817\nFinance is available on this property through Allsopp & Allsopp Mortgage Services.\nPlease call Jason Farr +971543642228 for more information.']"
