,title_advert,location1,location2,property_type,property_size,bedrooms,bathrooms,cost,amenities,description,listed,completion,descriptions
0,['High Floor | Luxurious 2bed I Hollywood Style'],"['Paramount Tower Hotel & ResidencesDubai, Business Bay']",,['Apartment'],"['1,255 sqft\n                      /            117 sqm']",['2'],['2'],"['2,400,000  AED']",['Furnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nPets Allowed\nSecurity\nShared Gym\nShared Pool\nShared Spa\nView of Landmark\nView of Water\nWalk-in Closet'],,['Listed:4 months ago'],['Off-plan'],"['DescriptionDamac Towers by Paramount tower (hotel and residence) is a mega project consisting of four buildings, one of which will house the Paramount-branded hotel while the other three buildings will have the Damac Maison Paramount serviced residences.\nSelling Price: AED 2,400,000 /- (negotiable)\nUnit Details:\n2 Bedrooms\n2 Balconies\n2 Bathrooms\n1 parking\nDinning and kitchen linked in a big opened area\nCompletion by end of this year\nBUA : 1,255 sq.ft\nAmenities & Facilities:\n* Serviced two bedroom apartment\n* Restaurants, bars and lounges\n* Retail outlets, including a Paramount Hotels & Resorts boutique\n* Wellness and fitness center\n* Grand lobby\n* Steam room and sauna\n* Kids Studio Club\n* Luxury spa\n* Meetings and events facilities\n* Screening rooms modeled after the professional studios at Paramount\n* Temperature-controlled swimming pool\n* 2 State-of-the-art gymnasium\n* 24-hour valet parking service\nCall us on +971544784474/ +971563369579 / +97143881115 or visit www.propertynetwork.ae for further details.']"
1,['HANDOVER VERY SOON | LOWEST PRICE'],"['AmarantaDubai, Dubai Land, Villanova']",,['Townhouse'],"['1,403 sqft\n                      /            130 sqm']",['2 + Maid'],['3'],"['1,100,000  AED']",['Unfurnished\nBalcony\nBarbecue Area\nBuilt in Wardrobes\nCovered Parking\nMaids Room\nPets Allowed\nShared Pool'],,['Listed:8 days ago'],['Off-plan'],"['DescriptionD&B Properties are delighted to offer for sale this beautiful 2 bedroom Townhouse located in Amaranta, Villanova, Dubai Land by Dubai Properties 1,100,000* BUA starts from:1,403 Sq Ft* 2 bedrooms with 3 en suite bathroomsAmenities:* Leisure and family areas*\xa0Play grounds*\xa0Sports facilities*\xa0Mosques*\xa0School*\xa0Nursery*\xa0Cinema*\xa0Restaurant*\xa0Swimming pool*\xa0Health center/GymPayment Plan:* 100% DLD WAIVER*\xa020% during construction*\xa05% on handover* 75% 5-Years Post Handover Payment PlanFeaturing spacious 3 and 4-bedroom townhouses inspired by Mediterranean designs, Amaranta at Villanova is a gated community with open spaces, lush landscapes and a network of interconnected pedestrian-only parks, conveniently located between Emirates Road and Academic City Road.\xa0Call our Dubailand expert today for more info or to organize a full project tour +971503391480 | 800 DANDB or visit our website www.dandbdubai.comD & B Properties is a leading real estate company in the Intl Off-Plan market including London, Dubai & Abu Dhabi. We assist in every aspect of searching and securing residential off-plan property']"
2,['Best Location and Price! For Direct Buyers!'],"['Al Maryah VistaAbu Dhabi, Al Maryah Island']",,['Apartment'],['520 sqft\n                      /            48 sqm'],['1'],['2'],"['428,000  AED']",['Furnished\nBalcony\nCentral A/C\nKitchen Appliances'],,[],['Off-plan'],"['DescriptionAl Maryah Island is a vibrant lifestyle and business destination where you can experience Abu Dhabi at its best. It is home to two world-class five-star hotels, Four Seasons Hotel Abu Dhabi and Rosewood Abu Dhabi and exceptional luxury boutiques. One can find many high-end brand outlets and dining restaurants here.\nThe waterfront pedestrian promenade in Al Maryah Island offers magnificent views of Abu Dhabi. The area is bustling throughout the year because of a variety of exciting events such as New Yearu2019s Eve, Chinese New Year and UAE National Day, all of which are celebrated in The Galleria mall. Comprised of four award-winning towers and the worldu2019s newest financial center, Al Maryah is home to Abu Dhabi Global Market.\nFinance Center and is an international, financial free zone that offers businesses the ideal landscape to invest, grow and thrive. It is home to Abu Dhabi Global Market, the award-winning IFC and governing authority of Al Mariyah Island. Features include retail and dining offerings, premium hospitality and world-class healthcare with.']"
3,['Huge Fully Furnished 2-Bedroom Capital Bay (104)'],"['Capital Bay Tower B\n                              3.7\n/53 ReviewsDubai, Business Bay, Capital Bay']",,['Apartment'],"['1,648 sqft\n                      /            153 sqm']",['2'],['3'],"['1,999,999  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nShared Gym\nShared Pool\nView of Water'],,['Listed:more than 6 months ago'],[],"['DescriptionProperty Details;\n-Community: Business Bay\n-Bedroom: 2\n-Bathroom :3\n-Size: 1,648 sq/ft.\n-View: Business Bay\nFACILITIES and AMENITIES:\nBusiness Lounge\nReception Desk\n24 Hour Security\nRetail Space on Ground Floor\nGymnasium\nSpa and Sauna Room\nAerobics Room\nHealth Club\nSwimming Pool\nCar Parking\nShopping Arcade\nLandscaped Courtyard\nFACILITIES and AMENITIES:\nSwimming Pool\nClubhouse\nFire Alarm and Fighting System\nPlaying Areas for Kids\nFitness Club\nGarbage Disposal\nPlaying Areas for Kids\nTable Tennis\nSecure Underground Parking\nSky Lounge\nSteam Room\nTennis Court\nParking for Visitors\nSquash Courts\nAl Mosher Real Estate Brokers is proud to present this 2 Bedroom apartment located on Business Bay\nCapital Bay comprises of two mid-rise buildings in Business Bay,a Central Business District of Dubai.Capital Bay Tower A is one of them consisting of 2 basement levels, ground floor, 3 podium levels, and 16 additional floors.\nIt offers a mix of studios, one, two and three bedroom serviced apartments with fully-equipped kitchen. You can meet all your basic needs while living in this building\nFor further details or to arrange viewings, please contact our Head Office Stadium Point Tower Sport City on +97144472452, Mobile+971521101158, Branch Office Ontario Tower Business Bay alternatively visit our website www.almosherrealestate.com where you will find our full selection of properties available both for sale and rent .']"
4,['BEST ROI |Spacious | Beautiful |1BR | Sulafa Tower'],"['Sulafa Tower\n                              3.3\n/527 ReviewsDubai, Dubai Marina']",,['Apartment'],['916 sqft\n                      /            85 sqm'],['1'],['2'],"['740,000  AED']",['Furnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nPrivate Jacuzzi\nPrivate Pool\nSecurity\nShared Gym\nShared Pool\nShared Spa'],,['Listed:more than 6 months ago'],[],"['DescriptionFuture World Real Estate are please to present this stunning 1 Bedroom for Sale in Sulafa Tower in Dubai Marina.\n• Shared swimming pool & gym\n• Service fee 16,800 approximately\n• 1 Reserved parking\n• 10 mins away from Beach\n• Best ROI\n• High Ceiling \n• Tiled flooring\nSulafa Tower is a majestic residential building in Marsa Dubai, with 81 stories and considered as one of the tallest residential buildings in the area. The tower rests in the vicinity of Dubai Media City (media hub of Middle East), Palm Jumeirah (the enchanting man made island of the world) and Dubai Marine (largest man made marina and waterfront).\nSulafa Tower is surrounded by different restaurants, supermarket, laundry and salon services.\nFuture World Real Estate is a branded company in Dubai and our people are experienced and well versed with Dubai properties. With over 20 years of property industry experience from the founder, management and our brokers we will strive to be the best in the industry. \nCompany Name: Future World Real Estate\nAddress: Showroom # 4, Ras Al Khor Complex 2, Nad Al Hamar\nMobile: +971525200661\nEmail: wahed@fw-realestate.com\nWebsite: www.fw-realestate.com']"
5,"['Pool Facing I Single Row I 3,100 Plot']","['Maple 1Dubai, Dubai Hills Estate, Maple at Dubai Hills Estate']",,['Townhouse'],"['2,700 sqft\n                      /            251 sqm']",['5'],['5'],"['2,499,999  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nKitchen Appliances\nPrivate Garden\nPrivate Gym\nSecurity\nShared Gym\nShared Pool\nWalk-in Closet'],,['Listed:more than 6 months ago'],['Off-plan'],"[""DescriptionWelcome to Maple!\nSpace & Place Real Estate (ORN 20643) is pleased to present this amazing Type 3E, corner villa for sale!\n•70% property paid\n•Type 3E Facing the Pool and Park\n•Reduced price\n•Motivated Seller\n•Completion in May 2019\nUnit features:\n•maid's room\n•terrace\n•large windows\n•neat kitchen designs\n•elegant flooring\n•stylish counter-top\nMaple is a unique community of 3,4,5-bedroom houses, designed along an integrated network of lush green corridors, overlooking 18-hole championship golf course. With its tree-lined, leafy avenues, this tranquil enclave is set away from the bustling hive of Dubai's city center.\nCommunity Features:\n- Health Club\n- 14-court Tennis Academy\n- a soccer pitch\n- swimming pools\n- Dubai Hills mall within the community\n- Minutes away from Downtown\nThis is a splendid opportunity for our most discerning clients to acquire a nature-inspired family home nearing its completion.\nCall our Agent Sunny (BRN No. 32753) at +971566624444 or send us an e-mail at info@spaceandplace.ae for more details!""]"
6,['smart investing in UAE ! time to invest in Dubai'],[],,['Apartment'],['460 sqft\n                      /            43 sqm'],['studio'],['1'],[],[],,[],[],[]
7,['Urgent Sale | Fully Furnished 1BR | Near Park'],"['Kensington ManorDubai, Jumeirah Village Circle']",,['Apartment'],['785 sqft\n                      /            73 sqm'],['1'],['2'],"['450,000  AED']",['Furnished\nBalcony\nBuilt in Wardrobes\nCentral A/C\nCovered Parking\nPrivate Pool'],,['Listed:1 month ago'],[],"[""DescriptionOutlook Properties is the authorised agency for this development and pleased to offer this \nFully Furnished 1 Bedroom apartment in Kensington Manor, Jumeirah Village Circle.\nKey Features: \n- Furnished apartment with white goods included\n- Covered parking\n- Large swimming pool and gym\n- Walking distance to supermarkets and other retail\n- Walking distance to the park\n- Walking distance to the bus stop with route to Mall of the Emirates\nAbout Jumeirah Village Circle (JVC) \n- Around 25,000 people live in this community.\n- There are 33 completed landscaped parks in this community.\n- Circle Shopping Centre is under construction and will feature 235 retail.\n- The community features villas, townhouses and apartments.\n- 10 Minutes to Mall of the Emirates.\nAbout Outlook Properties \nOur firm specialises in the management of real estate projects, property management, sales and\nmarketing campaigns and other facets of real estate\nOur 'award winning' team has over 35 years’ experience in the real-estate sector.""]"
8,['PAY 5% and move in your duplex apartment'],"['Ajman Corniche ResidencesAjman, Ajman Corniche Road']",,['Apartment'],"['2,800 sqft\n                      /            260 sqm']",['3 + Maid'],['3'],"['1,369,000  AED']",['Unfurnished\nBalcony\nBuilt in Wardrobes\nConcierge\nCovered Parking\nKitchen Appliances\nMaid Service\nMaids Room\nPets Allowed\nPrivate Gym\nPrivate Jacuzzi\nPrivate Pool\nSecurity\nShared Spa\nView of Landmark\nView of Water\nWalk-in Closet'],,[],[],"['DescriptionPAY 5% DOWN PAYMENT & MOVE IN UR APARTMENT IN THE BEST TOWERS IN AJMAN Full sea view \nCORNICHE RESIDENCE TOWERS \nobtaining title deed 100% free hold from land department  \nINSTALLMENTS 5 YEARS \nAir condition free forever \nAll Three bedrooms types duplex \nCORNICHE RESIDENCE TOWERS the best towers in Ajman & number 16 in all uae \nvery luxury apartments & luxury building located in the best area in Ajman\napartment very big sizes & full sea view \nOur company relies on trust and honesty with our customers \nWe can help our customers to choose them apartment to live or to investment \nWe have installments apartment in \nAjman one towers \nOasis towers\nCorniche residence towers \nOrient towers \nCity towers  \nfor more details please contact +971508081687\nОплатите 5% и получайте вашу удивительную квартиру в лучшей зоне в аджмане \nполучать ключ в тот же день\nБесплатно регистрация и без комисси \nУ нас есть в разных башни\nCorniche residence towers \nAjman one towers \nOasis tower \nOrient towers \nCity towers \nЭти апартаменты очень впечатляют для семей с точки зрения формы и дизайна \nТак же очень подходит для инвестиций и можем помочь вам в этом инвестировании\nЕсть бассейн, тренажёрный зал, охрана 24 часа и камеры и центральнее кондиционер \nрасположение близко к услугам и правительственным ведомством \nМайкл +971508081687']"
9,['Pay 5% & own your luxury apartment'],"['Oasis TowerAjman, Al Rashidiya, Al Rashidiya 1']",,['Apartment'],"['1,450 sqft\n                      /            135 sqm']",['2'],['2'],"['680,000  AED']",['Unfurnished\nBalcony\nCentral A/C\nCovered Parking\nKitchen Appliances\nPets Allowed\nPrivate Gym\nPrivate Pool\nSecurity\nView of Landmark\nView of Water\nWalk-in Closet'],,[],['Ready'],"['DescriptionOwn your luxury apartment sea view\nOnly 5% down payment and own your luxury apartment in the same day\nA/C free forever\nObtaining title deed 100% free hold from land department\nInstallments 7 years\nWe have many facilities in payment plan\nAll this without commission, without registration fees, without interest and bank not involved ( directly from developer)\nTower ready to move.\nVery luxury finish\nCovered parking\nSwimming pool & gym FREE\nTowers located in very good location in front of al khore\nWe have 1 & 2 3 BHK\nOur company relies on trust and honesty with our customers \nWe can help our customers to choose them apartment to live or to investment \nWe have installments apartment in \nAjman one towers \nOasis towers\nCorniche residence towers \nOrient towers \nCity towers \nFor more details please contact us\nОплатите 5% и получайте вашу удивительную квартиру в лучшей зоне в аджмане \nполучать ключ в тот же день\nБесплатно регистрация и без комисси \nУ нас есть в разных башни\nCorniche residence towers \nAjman one towers \nOasis tower \nOrient towers \nCity towers \nЭти апартаменты очень впечатляют для семей с точки зрения формы и дизайна \nТак же очень подходит для инвестиций и можем помочь вам в этом инвестировании\nЕсть бассейн, тренажёрный зал, охрана 24 часа и камеры и центральнее кондиционер \nрасположение близко к услугам и правительственным ведомством \nМайкл +971508081687']"
